,Team Name,Team Mascot,Team Win Record,Team Loss Record
0,Bellarmine,Knights,13,7
1,Florida Gulf Coast,Eagles,10,8
2,Jacksonville,Dolphins,11,13
3,Kennesaw State,Owls,5,19
4,Liberty,Flames,23,5
5,Lipscomb,Bisons,15,12
6,North Alabama,Lions,13,11
7,North Florida,Ospreys,8,15
8,Stetson,Hatters,11,14
9,Albany,Great Danes,7,9
10,Binghamton,Bearcats,4,14
11,Hartford,Hawks,14,8
12,Maine,Black Bears,2,7
13,NJIT,Highlanders,7,12
14,New Hampshire,Wildcats,10,9
15,Stony Brook,Seawolves,9,14
16,UMBC,Retrievers,14,6
17,UMass Lowell,River Hawks,11,11
18,Vermont,Catamounts,10,5
19,Cincinnati,Bearcats,10,10
20,East Carolina,Pirates,8,10
21,Houston,Cougars,21,3
22,Memphis,Tigers,15,7
23,SMU,Mustangs,11,4
24,South Florida,Bulls,8,12
25,Temple,Owls,5,10
26,Tulane,Green Wave,9,12
27,Tulsa,Golden Hurricane,11,11
28,UCF,Knights,10,11
29,Wichita State,Shockers,15,4
30,Davidson,Wildcats,13,8
31,Dayton,Flyers,14,9
32,Duquesne,Dukes,9,9
33,Fordham,Rams,2,12
34,George Mason,Patriots,13,9
35,George Washington,Colonials,5,12
36,La Salle,Explorers,9,16
37,Rhode Island,Rams,10,15
38,Richmond,Spiders,13,8
39,Saint Joseph's,Hawks,5,15
40,Saint Louis,Billikens,14,6
41,St. Bonaventure,Bonnies,15,4
42,UMass,Minutemen,8,7
43,VCU,Rams,19,6
44,Boston College,Eagles,4,15
45,Clemson,Tigers,16,6
46,Duke,Blue Devils,11,11
47,Florida State,Seminoles,15,5
48,Georgia Tech,Yellow Jackets,15,8
49,Louisville,Cardinals,13,6
50,Miami,Hurricanes,8,16
51,NC State,Wolfpack,13,9
52,North Carolina,Tar Heels,16,9
53,Notre Dame,Fighting Irish,10,14
54,Pittsburgh,Panthers,10,11
55,Syracuse,Orange,15,8
56,Virginia,Cavaliers,17,6
57,Virginia Tech,Hokies,15,5
58,Wake Forest,Demon Deacons,6,15
59,Baylor,Bears,21,1
60,Iowa State,Cyclones,2,21
61,Kansas,Jayhawks,19,8
62,Kansas State,Wildcats,8,19
63,Oklahoma,Sooners,14,9
64,Oklahoma State,Cowboys,18,7
65,TCU,Horned Frogs,12,13
66,Texas,Longhorns,17,7
67,Texas Tech,Red Raiders,17,9
68,West Virginia,Mountaineers,18,8
69,Butler,Bulldogs,9,14
70,Creighton,Bluejays,18,7
71,DePaul,Blue Demons,4,13
72,Georgetown,Hoyas,9,12
73,Marquette,Golden Eagles,13,13
74,Providence,Friars,13,12
75,Seton Hall,Pirates,13,12
76,St. John's,Red Storm,16,10
77,UConn,Huskies,14,6
78,Villanova,Wildcats,16,5
79,Xavier,Musketeers,13,7
80,Eastern Washington,Eagles,13,7
81,Idaho State,Bengals,13,10
82,Idaho,Vandals,1,20
83,Montana,Grizzlies,13,12
84,Montana State,Bobcats,11,9
85,Northern Arizona,Lumberjacks,5,15
86,Northern Colorado,Bears,10,10
87,Portland State,Vikings,9,12
88,Sacramento State,Hornets,8,11
89,Southern Utah,Thunderbirds,19,3
90,Weber State,Wildcats,17,5
91,Campbell,Fighting Camels,17,10
92,Charleston Southern,Buccaneers,3,18
93,Gardner-Webb,Bulldogs,11,15
94,Hampton,Pirates,11,14
95,High Point,Panthers,9,15
96,Longwood,Lancers,12,16
97,Presbyterian,Blue Hose,7,15
98,Radford,Highlanders,15,12
99,South Carolina Upstate,Spartans,5,18
100,UNC Asheville,Bulldogs,10,10
101,Winthrop,Eagles,23,1
102,Illinois,Fighting Illini,20,6
103,Indiana,Hoosiers,12,14
104,Iowa,Hawkeyes,20,7
105,Maryland,Terrapins,15,12
106,Michigan State,Spartans,15,11
107,Michigan,Wolverines,19,3
108,Minnesota,Golden Gophers,13,14
109,Nebraska,Cornhuskers,7,19
110,Northwestern,Wildcats,9,14
111,Ohio State,Buckeyes,18,8
112,Penn State,Nittany Lions,10,13
113,Purdue,Boilermakers,18,8
114,Rutgers,Scarlet Knights,14,10
115,Wisconsin,Badgers,16,11
116,CSU Bakersfield,Roadrunners,15,10
117,CSU Fullerton,Titans,6,9
118,CSU Northridge,Matadors,9,12
119,Cal Poly,Mustangs,3,19
120,Hawai'i,Rainbow Warriors,11,9
121,Long Beach State,Beach,5,11
122,UC Davis,Aggies,9,7
123,UC Irvine,Anteaters,16,8
124,UC Riverside,Highlanders,13,7
125,UC San Diego,Tritons,7,10
126,UC Santa Barbara,Gauchos,19,4
127,Charleston,Cougars,9,10
128,Delaware,Blue Hens,7,8
129,Drexel,Dragons,10,7
130,Elon,Phoenix,9,8
131,Hofstra,Pride,13,9
132,James Madison,Dukes,13,7
133,Northeastern,Huskies,10,8
134,Towson,Tigers,4,14
135,UNC Wilmington,Seahawks,7,10
136,William & Mary,Tribe,7,10
137,Charlotte,49ers,9,15
138,Florida Atlantic,Owls,12,9
139,Florida International,Panthers,9,17
140,Louisiana Tech,Bulldogs,20,6
141,Marshall,Thundering Herd,15,6
142,Middle Tennessee,Blue Raiders,5,17
143,North Texas,Mean Green,13,9
144,Old Dominion,Monarchs,15,7
145,Rice,Owls,13,12
146,Southern Miss,Golden Eagles,8,16
147,UAB,Blazers,21,6
148,UTEP,Miners,12,11
149,UTSA,Roadrunners,14,10
150,Western Kentucky,Hilltoppers,18,6
151,Cleveland State,Vikings,17,7
152,Detroit Mercy,Titans,12,10
153,Green Bay,Phoenix,8,17
154,IUPUI,Jaguars,8,10
155,Milwaukee,Panthers,10,11
156,Northern Kentucky,Norse,14,10
157,Oakland,Golden Grizzlies,11,17
158,Purdue Fort Wayne,Mastodons,8,15
159,Robert Morris,Colonials,4,15
160,UIC,Flames,9,13
161,Wright State,Raiders,18,6
162,Youngstown State,Penguins,15,12
163,Canisius,Golden Griffins,7,5
164,Fairfield,Stags,7,16
165,Iona,Gaels,8,5
166,Manhattan,Jaspers,7,12
167,Marist,Red Foxes,12,8
168,Monmouth,Hawks,12,7
169,Niagara,Purple Eagles,8,10
170,Quinnipiac,Bobcats,9,12
171,Rider,Broncs,5,16
172,Saint Peter's,Peacocks,13,10
173,Siena,Saints,12,4
174,Akron,Zips,14,7
175,Ball State,Cardinals,10,12
176,Bowling Green,Falcons,14,10
177,Buffalo,Bulls,14,7
178,Central Michigan,Chippewas,7,16
179,Eastern Michigan,Eagles,6,12
180,Kent State,Golden Flashes,15,7
181,Miami (OH),Redhawks,12,10
182,Northern Illinois,Huskies,3,16
183,Ohio,Bobcats,13,7
184,Toledo,Rockets,20,7
185,Western Michigan,Broncos,5,16
186,Coppin State,Eagles,9,12
187,Delaware State,Hornets,3,16
188,Florida A&M,Rattlers,8,11
189,Howard,Bison,1,4
190,Morgan St,Bears,12,7
191,Norfolk St,Spartans,14,7
192,North Carolina A&T,Aggies,11,10
193,North Carolina Central,Eagles,5,8
194,South Carolina State,Bulldogs,1,17
195,Bradley,Braves,12,16
196,Drake,Bulldogs,25,4
197,Evansville,Purple Aces,9,16
198,Illinois State,Redbirds,7,18
199,Indiana State,Sycamores,15,10
200,Loyola Chicago,Ramblers,24,4
201,Missouri State,Bears,17,7
202,Northern Iowa,Panthers,10,15
203,Southern Illinois,Salukis,12,14
204,Valparaiso,N/A,10,18
205,Air Force,Falcons,5,19
206,Boise State,Broncos,18,7
207,Colorado State,Rams,17,5
208,Fresno State,Bulldogs,11,11
209,Nevada,Wolf Pack,15,9
210,New Mexico,Lobos,6,15
211,San Diego State,Aztecs,20,4
212,San José St,Spartans,5,15
213,UNLV,Rebels,11,14
214,Utah State,Aggies,18,7
215,Wyoming,Cowboys,13,10
216,Bryant,Bulldogs,15,5
217,Central Connecticut,Blue Devils,5,16
218,Fairleigh Dickinson,Knights,9,15
219,Long Island University,Sharks,9,9
220,Merrimack,Warriors,9,9
221,Mount St. Mary's,Mountaineers,11,10
222,Sacred Heart,Pioneers,9,9
223,St. Francis (BKN),Terriers,9,10
224,St. Francis (PA),Red Flash,6,16
225,Wagner,Seahawks,13,7
226,Austin Peay,Governors,14,13
227,Belmont,Bruins,26,4
228,Eastern Illinois,Panthers,9,18
229,Eastern Kentucky,Colonels,22,7
230,Jacksonville State,Gamecocks,18,9
231,Morehead State,Eagles,23,7
232,Murray State,Racers,13,13
233,SIU Edwardsville,Cougars,9,17
234,Southeast Missouri State,Redhawks,11,16
235,Tennessee State,Tigers,4,19
236,Tennessee Tech,Golden Eagles,5,22
237,UT Martin,Skyhawks,8,16
238,Arizona State,Sun Devils,10,13
239,Arizona,Wildcats,17,9
240,California,Golden Bears,8,19
