,Team ID,Team Name,Team Mascot,Team Win Record,Team Loss Record
0,91,Bellarmine,Knights,13,7
1,526,Florida Gulf Coast,Eagles,10,8
2,294,Jacksonville,Dolphins,11,13
3,338,Kennesaw State,Owls,5,19
4,2335,Liberty,Flames,23,5
5,288,Lipscomb,Bisons,15,12
6,2453,North Alabama,Lions,13,11
7,2454,North Florida,Ospreys,8,15
8,56,Stetson,Hatters,11,14
9,399,Albany,Great Danes,7,9
10,2066,Binghamton,Bearcats,4,14
11,42,Hartford,Hawks,14,8
12,311,Maine,Black Bears,2,7
13,2885,NJIT,Highlanders,7,12
14,160,New Hampshire,Wildcats,10,9
15,2619,Stony Brook,Seawolves,9,14
16,2378,UMBC,Retrievers,14,6
17,2349,UMass Lowell,River Hawks,11,11
18,261,Vermont,Catamounts,10,5
19,2132,Cincinnati,Bearcats,10,10
20,151,East Carolina,Pirates,8,10
21,248,Houston,Cougars,21,3
22,235,Memphis,Tigers,15,7
23,2567,SMU,Mustangs,11,4
24,58,South Florida,Bulls,8,12
25,218,Temple,Owls,5,10
26,2655,Tulane,Green Wave,9,12
27,202,Tulsa,Golden Hurricane,11,11
28,2116,UCF,Knights,10,11
29,2724,Wichita State,Shockers,15,4
30,2166,Davidson,Wildcats,13,8
31,2168,Dayton,Flyers,14,9
32,2184,Duquesne,Dukes,9,9
33,2230,Fordham,Rams,2,12
34,2244,George Mason,Patriots,13,9
35,45,George Washington,Colonials,5,12
36,2325,La Salle,Explorers,9,16
37,227,Rhode Island,Rams,10,15
38,257,Richmond,Spiders,13,8
39,2603,Saint Joseph's,Hawks,5,15
40,139,Saint Louis,Billikens,14,6
41,179,St. Bonaventure,Bonnies,15,4
42,113,UMass,Minutemen,8,7
43,2670,VCU,Rams,19,6
44,103,Boston College,Eagles,4,15
45,228,Clemson,Tigers,16,6
46,150,Duke,Blue Devils,11,11
47,52,Florida State,Seminoles,15,5
48,59,Georgia Tech,Yellow Jackets,15,8
49,97,Louisville,Cardinals,13,6
50,2390,Miami,Hurricanes,8,16
51,152,NC State,Wolfpack,13,9
52,153,North Carolina,Tar Heels,16,9
53,87,Notre Dame,Fighting Irish,10,14
54,221,Pittsburgh,Panthers,10,11
55,183,Syracuse,Orange,15,8
56,258,Virginia,Cavaliers,17,6
57,259,Virginia Tech,Hokies,15,5
58,154,Wake Forest,Demon Deacons,6,15
59,239,Baylor,Bears,21,1
60,66,Iowa State,Cyclones,2,21
61,2305,Kansas,Jayhawks,19,8
62,2306,Kansas State,Wildcats,8,19
63,201,Oklahoma,Sooners,14,9
64,197,Oklahoma State,Cowboys,18,7
65,2628,TCU,Horned Frogs,12,13
66,251,Texas,Longhorns,17,7
67,2641,Texas Tech,Red Raiders,17,9
68,277,West Virginia,Mountaineers,18,8
69,2086,Butler,Bulldogs,9,14
70,156,Creighton,Bluejays,18,7
71,305,DePaul,Blue Demons,4,13
72,46,Georgetown,Hoyas,9,12
73,269,Marquette,Golden Eagles,13,13
74,2507,Providence,Friars,13,12
75,2550,Seton Hall,Pirates,13,12
76,2599,St. John's,Red Storm,16,10
77,41,UConn,Huskies,14,6
78,222,Villanova,Wildcats,16,5
79,2752,Xavier,Musketeers,13,7
80,331,Eastern Washington,Eagles,13,7
81,304,Idaho State,Bengals,13,10
82,70,Idaho,Vandals,1,20
83,149,Montana,Grizzlies,13,12
84,147,Montana State,Bobcats,11,9
85,2464,Northern Arizona,Lumberjacks,5,15
86,2458,Northern Colorado,Bears,10,10
87,2502,Portland State,Vikings,9,12
88,16,Sacramento State,Hornets,8,11
89,253,Southern Utah,Thunderbirds,19,3
90,2692,Weber State,Wildcats,17,5
91,2097,Campbell,Fighting Camels,17,10
92,2127,Charleston Southern,Buccaneers,3,18
93,2241,Gardner-Webb,Bulldogs,11,15
94,2261,Hampton,Pirates,11,14
95,2272,High Point,Panthers,9,15
96,2344,Longwood,Lancers,12,16
97,2506,Presbyterian,Blue Hose,7,15
98,2515,Radford,Highlanders,15,12
99,2908,South Carolina Upstate,Spartans,5,18
100,2427,UNC Asheville,Bulldogs,10,10
101,2737,Winthrop,Eagles,23,1
102,356,Illinois,Fighting Illini,20,6
103,84,Indiana,Hoosiers,12,14
104,2294,Iowa,Hawkeyes,20,7
105,120,Maryland,Terrapins,15,12
106,127,Michigan State,Spartans,15,11
107,130,Michigan,Wolverines,19,3
108,135,Minnesota,Golden Gophers,13,14
109,158,Nebraska,Cornhuskers,7,19
110,77,Northwestern,Wildcats,9,14
111,194,Ohio State,Buckeyes,18,8
112,213,Penn State,Nittany Lions,10,13
113,2509,Purdue,Boilermakers,18,8
114,164,Rutgers,Scarlet Knights,14,10
115,275,Wisconsin,Badgers,16,11
116,2934,CSU Bakersfield,Roadrunners,15,10
117,2239,CSU Fullerton,Titans,6,9
118,2463,CSU Northridge,Matadors,9,12
119,13,Cal Poly,Mustangs,3,19
120,62,Hawai'i,Rainbow Warriors,11,9
121,299,Long Beach State,Beach,5,11
122,302,UC Davis,Aggies,9,7
123,300,UC Irvine,Anteaters,16,8
124,27,UC Riverside,Highlanders,13,7
125,28,UC San Diego,Tritons,7,10
126,2540,UC Santa Barbara,Gauchos,19,4
127,232,Charleston,Cougars,9,10
128,48,Delaware,Blue Hens,7,8
129,2182,Drexel,Dragons,10,7
130,2210,Elon,Phoenix,10,8
131,2275,Hofstra,Pride,13,10
132,256,James Madison,Dukes,13,7
