,Team ID,Team Name,Team Mascot,Team Win Record,Team Loss Record
0,91,Bellarmine,Knights,5,16
1,526,Florida Gulf Coast,Eagles,23,2
2,294,Jacksonville,Dolphins,3,16
3,338,Kennesaw State,Lady Owls,7,11
4,2335,Liberty,Flames,17,7
5,288,Lipscomb,Lady Bisons,11,9
6,2453,North Alabama,Lions,7,17
7,2454,North Florida,Lady Ospreys,13,10
8,56,Stetson,Hatters,9,12
9,399,Albany,Great Danes,7,11
10,2066,Binghamton,Bearcats,5,11
11,42,Hartford,Hawks,3,9
12,311,Maine,Black Bears,17,2
13,2885,NJIT,Highlanders,4,14
14,160,New Hampshire,Wildcats,5,15
15,2619,Stony Brook,Seawolves,14,5
16,2378,UMBC,Retrievers,2,6
17,2349,UMass Lowell,River Hawks,12,9
18,261,Vermont,Catamounts,4,2
19,2132,Cincinnati,Bearcats,8,15
20,151,East Carolina,Pirates,8,13
21,248,Houston,Cougars,15,6
22,235,Memphis,Tigers,4,15
23,2567,SMU,Mustangs,0,6
24,58,South Florida,Bulls,15,3
25,218,Temple,Owls,11,10
26,2655,Tulane,Green Wave,16,7
27,202,Tulsa,Golden Hurricane,5,14
28,2116,UCF,Knights,14,3
29,2724,Wichita State,Shockers,6,11
30,2166,Davidson,Wildcats,8,13
31,2168,Dayton,Flyers,13,2
32,2184,Duquesne,Dukes,5,10
33,2230,Fordham,Rams,12,3
34,2244,George Mason,Patriots,3,18
35,45,George Washington,Colonials,8,13
36,2325,La Salle,Explorers,11,13
37,227,Rhode Island,Rams,11,7
38,257,Richmond,Spiders,12,8
39,2603,Saint Joseph's,Hawks,7,9
40,139,Saint Louis,Billikens,11,3
41,179,St. Bonaventure,Bonnies,6,14
42,113,UMass,Minutewomen,11,6
43,2670,VCU,Rams,12,10
44,103,Boston College,Eagles,7,12
45,228,Clemson,Tigers,11,13
46,150,Duke,Blue Devils,3,1
47,52,Florida State,Seminoles,10,8
48,59,Georgia Tech,Yellow Jackets,15,8
49,97,Louisville,Cardinals,23,3
50,2390,Miami,Hurricanes,11,11
51,152,NC State,Wolfpack,20,2
52,153,North Carolina,Tar Heels,13,10
53,87,Notre Dame,Fighting Irish,10,10
54,221,Pittsburgh,Panthers,5,14
55,183,Syracuse,Orange,14,8
56,258,Virginia,Cavaliers,0,5
57,259,Virginia Tech,Hokies,14,9
58,154,Wake Forest,Demon Deacons,12,12
59,239,Baylor,Bears,21,2
60,66,Iowa State,Cyclones,16,9
61,2305,Kansas,Jayhawks,7,17
62,2306,Kansas State,Wildcats,8,17
63,201,Oklahoma,Sooners,12,11
64,197,Oklahoma State,Cowgirls,17,7
65,2628,TCU,Horned Frogs,9,14
66,251,Texas,Longhorns,17,8
67,2641,Texas Tech,Lady Raiders,10,14
68,277,West Virginia,Mountaineers,19,4
69,2086,Butler,Bulldogs,3,17
70,156,Creighton,Bluejays,9,11
71,305,DePaul,Blue Demons,14,8
72,46,Georgetown,Hoyas,2,15
73,269,Marquette,Golden Eagles,19,5
74,2507,Providence,Friars,7,14
75,2550,Seton Hall,Pirates,14,7
76,2599,St. John's,Red Storm,8,15
77,41,UConn,Huskies,23,1
78,222,Villanova,Wildcats,15,6
79,2752,Xavier,Musketeers,5,10
80,331,Eastern Washington,Eagles,6,17
81,304,Idaho State,Bengals,18,3
82,70,Idaho,Vandals,15,6
83,149,Montana,Lady Griz,12,10
84,147,Montana State,Bobcats,16,6
85,2464,Northern Arizona,Lumberjacks,13,12
86,2458,Northern Colorado,Bears,13,11
87,2502,Portland State,Vikings,12,12
88,16,Sacramento State,Hornets,2,21
89,253,Southern Utah,Thunderbirds,11,8
90,2692,Weber State,Wildcats,2,20
91,2097,Campbell,Fighting Camels,15,6
92,2127,Charleston Southern,Buccaneers,6,17
93,2241,Gardner-Webb,Runnin' Bulldogs,11,12
94,2261,Hampton,Lady Pirates,4,11
95,2272,High Point,Panthers,20,6
96,2344,Longwood,Lancers,14,10
97,2506,Presbyterian,Blue Hose,11,10
98,2515,Radford,Highlanders,9,11
99,2908,South Carolina Upstate,Spartans,8,15
100,2427,UNC Asheville,Bulldogs,10,15
101,2737,Winthrop,Eagles,6,18
102,356,Illinois,Fighting Illini,4,17
103,84,Indiana,Hoosiers,18,4
104,2294,Iowa,Hawkeyes,15,8
105,120,Maryland,Terrapins,21,2
106,127,Michigan State,Spartans,13,7
107,130,Michigan,Wolverines,14,4
108,135,Minnesota,Golden Gophers,8,12
109,158,Nebraska,Cornhuskers,11,11
110,77,Northwestern,Wildcats,13,7
111,194,Ohio State,Buckeyes,13,7
112,213,Penn State,Lady Lions,9,14
113,2509,Purdue,Boilermakers,7,15
114,164,Rutgers,Scarlet Knights,14,3
115,275,Wisconsin,Badgers,5,18
116,2934,CSU Bakersfield,Roadrunners,9,8
117,2239,CSU Fullerton,Titans,3,17
118,2463,CSU Northridge,Matadors,0,0
119,13,Cal Poly,Mustangs,12,10
120,62,Hawai'i,Rainbow Wahine,8,7
121,299,Long Beach State,Beach,12,8
122,302,UC Davis,Aggies,10,2
123,300,UC Irvine,Anteaters,13,8
124,27,UC Riverside,Highlanders,7,11
125,28,UC San Diego,Tritons,6,9
126,2540,UC Santa Barbara,Gauchos,7,13
127,232,Charleston,Cougars,6,8
128,48,Delaware,Blue Hens,19,3
129,2182,Drexel,Dragons,11,8
130,2210,Elon,Phoenix,7,7
131,2275,Hofstra,Pride,7,11
132,256,James Madison,Dukes,13,9
133,111,Northeastern,Huskies,7,12
134,119,Towson,Tigers,13,8
135,350,UNC Wilmington,Seahawks,6,13
136,2729,William & Mary,Tribe,6,7
137,2429,Charlotte,49ers,10,9
138,2226,Florida Atlantic,Owls,10,10
139,2229,Florida International,Panthers,12,11
140,2348,Louisiana Tech,Lady Techsters,13,9
141,276,Marshall,Thundering Herd,8,10
142,2393,Middle Tennessee,Lady Raiders,14,7
143,249,North Texas,Mean Green,13,6
144,295,Old Dominion,Monarchs,10,10
145,242,Rice,Owls,16,3
146,2572,Southern Miss,Golden Eagles,7,11
147,5,UAB,Blazers,9,12
148,2638,UTEP,Miners,16,7
149,2636,UTSA,Roadrunners,2,17
150,98,Western Kentucky,Lady Toppers,7,15
151,325,Cleveland State,Vikings,11,9
152,2174,Detroit Mercy,Titans,1,13
153,2739,Green Bay,Phoenix,15,7
154,85,IUPUI,Jaguars,15,4
155,270,Milwaukee,Panthers,19,7
156,94,Northern Kentucky,Norse,8,11
157,2473,Oakland,Golden Grizzlies,12,12
158,2870,Purdue Fort Wayne,Mastodons,1,22
159,2523,Robert Morris,Colonials,4,13
160,82,UIC,Flames,3,16
161,2750,Wright State,Raiders,17,7
162,2754,Youngstown State,Penguins,10,8
163,2099,Canisius,Golden Griffins,0,5
164,2217,Fairfield,Stags,10,4
165,314,Iona,Gaels,6,8
166,2363,Manhattan,Lady Jaspers,10,6
167,2368,Marist,Red Foxes,15,3
